symbol,name,industry,index_memberships
CCAVENUE,AvenuesAI Limited,,
CCCL,Consolidated Construction Consortium Limited,,
CCHHL,Country Club Hospitality & Holidays Limited,,
CCL,CCL Products (India) Limited,Fast Moving Consumer Goods,NIFTY500
CDSL,Central Depository Services (India) Limited,Financial Services,NIFTY500
CEATLTD,CEAT Limited,Automobile and Auto Components,NIFTY500
CEIGALL,Ceigall India Limited,,
CEINSYS,Ceinsys Tech Limited,,
CELEBRITY,Celebrity Fashions Limited,,
CELLO,Cello World Limited,,
CEMPRO,Cemindia Projects Limited,Construction,NIFTY500
CENTENKA,Century Enka Limited,,
CENTEXT,Century Extrusions Limited,,
CENTRALBK,Central Bank of India,Financial Services,NIFTY500
CENTRUM,Centrum Capital Limited,,
CENTUM,Centum Electronics Limited,,
CENTURYPLY,Century Plyboards (India) Limited,,
CERA,Cera Sanitaryware Limited,,
CESC,CESC Limited,Power,NIFTY500
CEWATER,Concord Enviro Systems Limited,,
CGCL,Capri Global Capital Limited,Financial Services,NIFTY500
CGPOWER,CG Power and Industrial Solutions Limited,Capital Goods,NIFTY500
CHALET,Chalet Hotels Limited,Consumer Services,NIFTY500
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Chemicals,NIFTY500
CHEMPLASTS,Chemplast Sanmar Limited,,
CHENNPETRO,Chennai Petroleum Corporation Limited,Oil Gas & Consumable Fuels,NIFTY500
CHEVIOT,Cheviot Company Limited,,
CHOICEIN,Choice International Limited,Financial Services,NIFTY500
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,NIFTY500
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services,NIFTY500
CIEINDIA,CIE Automotive India Limited,Automobile and Auto Components,NIFTY500
CIFL,Capital India Finance Limited,,
CINELINE,Cineline India Limited,,
CINEVISTA,Cinevista Limited,,
CIPLA,Cipla Limited,Healthcare,NIFTY50|NIFTY500
CLEAN,Clean Science and Technology Limited,Chemicals,NIFTY500
CLEANMAX,Clean Max Enviro Energy Solutions Limited,,
CLSEL,Chaman Lal Setia Exports Limited,,
CMLL,Caliber Mining and Logistics Limited,,
CMPDI,Central Mine Planning & Design Institute Limited,,
CMRGREEN,CMR Green Technologies Limited,,
CMSINFO,CMS Info Systems Limited,,
CNL,Creative Newtech Limited,,
COALINDIA,Coal India Limited,Oil Gas & Consumable Fuels,NIFTY50|NIFTY500
COASTCORP,Coastal Corporation Limited,,
COCHINSHIP,Cochin Shipyard Limited,Capital Goods,NIFTY500
COCKERILL,John Cockerill India Limited,,
COFORGE,Coforge Limited,Information Technology,NIFTY500
COHANCE,Cohance Lifesciences Limited,Healthcare,NIFTY500
COLPAL,Colgate Palmolive (India) Limited,Fast Moving Consumer Goods,NIFTY500
COMFINTE,Comfort Intech Limited,,
COMPUSOFT,Compucom Software Limited,,
COMSYN,Commercial Syn Bags Limited,,
CONCOR,Container Corporation of India Limited,Services,NIFTY500
CONCORDBIO,Concord Biotech Limited,Healthcare,NIFTY500
CONFIPET,Confidence Petroleum India Limited,,
CONTROLPR,Control Print Limited,,
CORALFINAC,Coral India Finance & Housing Limited,,
CORDELIA,Waterways Leisure Tourism Limited,,
COROMANDEL,Coromandel International Limited,Chemicals,NIFTY500
CORONA,CORONA Remedies Limited,,
COSMOFIRST,COSMO FIRST LIMITED,,
CPCAP,CP Capital Limited,,
CPEDU,Career Point Edutech Limited,,
CPL,Captain Polyplast Limited,,
CPPLUS,Aditya Infotech Limited,Capital Goods,NIFTY500
CRAFTSMAN,Craftsman Automation Limited,Automobile and Auto Components,NIFTY500
CRAMC,Canara Robeco Asset Management Company Limited,,
CREATIVEYE,Creative Eye Limited,,
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Financial Services,NIFTY500
CREST,Crest Ventures Limited,,
CRISIL,Crisil Limited,Financial Services,NIFTY500
